p   edge 33  55
e  0  27  574
e  0  9  142
e  1  2  613
e  1  15  588
e  2  3  511
e  2  12  985
e  2  14  588
e  3  4  985
e  4  5  574
e  4  10  588
e  4  12  511
e  5  6  588
e  6  7  384
e  6  10  574
e  7  8  298
e  7  11  574
e  8  9  699
e  8  18  574
e  9  20  574
e  10  11  384
e  10  13  511
e  11  18  298
e  11  17  511
e  12  13  588
e  13  17  384
e  13  16  613
e  13  14  985
e  14  15  613
e  15  16  985
e  15  28  298
e  16  19  384
e  16  24  298
e  17  21  298
e  17  19  613
e  18  20  699
e  18  23  613
e  18  21  511
e  19  22  298
e  20  27  142
e  20  25  613
e  21  22  613
e  22  23  511
e  22  26  699
e  22  24  384
e  23  25  699
e  24  29  699
e  24  28  985
e  25  30  142
e  25  26  511
e  26  32  142
e  26  29  384
e  27  30  613
e  28  31  699
e  29  31  985
e  30  32  511
