p   edge 45  79
e  0  34  881
e  0  32  112
e  0  9  223
e  1  2  881
e  1  23  584
e  1  36  998
e  1  44  223
e  2  3  112
e  2  14  871
e  2  20  584
e  3  4  871
e  4  5  775
e  4  13  584
e  4  14  112
e  5  6  998
e  5  10  827
e  5  12  584
e  6  7  827
e  7  8  584
e  7  10  998
e  8  9  998
e  8  11  998
e  9  25  112
e  9  15  998
e  10  11  584
e  11  15  998
e  11  18  112
e  11  12  827
e  12  17  112
e  12  13  775
e  13  16  112
e  14  16  584
e  15  19  112
e  16  17  775
e  16  22  998
e  16  24  881
e  16  20  871
e  17  18  827
e  17  21  998
e  18  19  998
e  19  25  998
e  19  29  881
e  19  27  775
e  19  21  827
e  20  23  881
e  21  22  775
e  22  27  827
e  22  26  881
e  23  24  871
e  23  30  998
e  24  26  998
e  25  32  223
e  25  31  881
e  26  28  827
e  26  38  223
e  26  30  871
e  27  28  881
e  28  29  775
e  28  37  223
e  29  31  998
e  29  35  223
e  30  39  223
e  30  36  584
e  31  33  223
e  32  33  881
e  33  34  112
e  33  43  871
e  33  35  998
e  35  42  871
e  35  37  775
e  36  41  223
e  37  40  871
e  37  38  827
e  38  39  871
e  39  40  827
e  39  41  584
e  40  42  775
e  41  44  998
e  42  43  998
