p   edge 22  36
e  0  21  430
e  0  11  547
e  0  6  488
e  1  2  430
e  1  12  462
e  1  15  625
e  1  20  488
e  2  3  547
e  2  7  462
e  3  4  462
e  4  5  485
e  4  7  547
e  5  6  625
e  5  8  547
e  6  9  547
e  7  8  485
e  7  10  625
e  7  12  430
e  8  9  625
e  9  11  488
e  9  10  485
e  10  13  488
e  10  14  430
e  11  17  430
e  11  13  485
e  12  14  625
e  13  16  430
e  14  16  488
e  14  15  462
e  15  18  488
e  16  17  485
e  16  18  462
e  17  21  547
e  17  19  462
e  18  19  485
e  18  20  625
