p   edge 293  556
e  0  292  142
e  0  194  534
e  0  140  964
e  0  134  147
e  0  109  114
e  0  24  970
e  1  2  142
e  1  107  421
e  1  222  355
e  1  287  732
e  2  3  534
e  2  26  660
e  2  54  475
e  2  106  421
e  3  4  660
e  4  5  964
e  4  25  475
e  4  26  534
e  5  6  475
e  6  7  422
e  6  36  418
e  6  25  964
e  7  8  418
e  8  9  35
e  8  46  421
e  8  53  964
e  8  36  422
e  9  10  99
e  9  40  421
e  10  11  928
e  10  38  421
e  11  12  147
e  11  29  421
e  12  13  461
e  12  28  421
e  13  14  421
e  14  15  269
e  14  33  652
e  14  31  147
e  14  28  461
e  15  16  652
e  16  17  890
e  16  33  269
e  17  18  114
e  17  32  905
e  17  52  355
e  17  60  147
e  17  37  269
e  18  19  905
e  19  20  222
e  19  32  114
e  20  21  734
e  20  35  355
e  20  34  114
e  21  22  414
e  21  27  355
e  22  23  355
e  23  24  732
e  23  27  414
e  24  101  114
e  24  51  414
e  25  41  418
e  25  30  534
e  26  30  475
e  27  51  732
e  27  50  114
e  27  35  734
e  28  29  147
e  29  31  461
e  29  44  652
e  29  43  99
e  29  38  928
e  30  47  418
e  30  88  421
e  30  54  660
e  31  39  652
e  32  34  222
e  32  49  355
e  33  37  890
e  33  39  147
e  34  45  355
e  35  45  114
e  36  41  964
e  37  42  147
e  38  40  99
e  39  42  890
e  39  44  461
e  40  43  928
e  40  46  35
e  41  53  422
e  41  57  421
e  41  47  534
e  42  60  269
e  42  70  355
e  42  48  461
e  43  56  652
e  43  63  35
e  44  48  890
e  44  56  99
e  45  50  734
e  45  49  222
e  46  63  928
e  46  67  652
e  46  55  964
e  47  59  421
e  48  83  355
e  48  61  99
e  49  58  734
e  49  52  905
e  50  79  732
e  50  91  147
e  50  58  222
e  51  79  114
e  52  62  734
e  52  66  147
e  53  55  421
e  54  94  421
e  55  68  652
e  55  64  534
e  55  57  422
e  56  61  890
e  56  65  35
e  57  59  534
e  58  86  147
e  58  62  905
e  59  64  422
e  59  75  652
e  59  105  660
e  59  88  418
e  60  66  355
e  61  85  355
e  61  73  964
e  61  71  35
e  62  78  147
e  63  65  652
e  64  74  652
e  65  71  890
e  65  69  964
e  65  67  928
e  66  78  734
e  66  70  269
e  67  68  964
e  68  69  928
e  68  74  534
e  69  72  890
e  70  81  734
e  70  92  964
e  70  83  461
e  71  72  964
e  72  73  35
e  72  76  534
e  73  87  355
e  73  82  534
e  74  77  890
e  74  75  422
e  75  80  890
e  75  136  660
e  76  77  928
e  76  82  35
e  76  95  355
e  76  84  422
e  77  80  422
e  78  86  905
e  78  81  269
e  79  101  414
e  79  100  147
e  80  84  928
e  80  111  355
e  80  141  660
e  81  108  905
e  81  96  964
e  82  89  355
e  83  90  964
e  83  85  99
e  84  97  355
e  85  87  964
e  86  91  222
e  86  112  964
e  86  108  269
e  87  90  99
e  87  93  461
e  87  89  534
e  88  94  660
e  89  98  461
e  89  103  734
e  89  95  35
e  90  92  461
e  91  100  732
e  91  114  964
e  92  96  734
