p   edge 163  297
e  0  162  46
e  0  25  183
e  1  2  46
e  1  34  347
e  1  112  724
e  2  3  347
e  3  4  504
e  3  34  46
e  4  5  27
e  4  45  18
e  4  38  46
e  5  6  458
e  5  27  18
e  6  7  18
e  7  8  623
e  7  27  458
e  8  9  678
e  8  32  724
e  8  37  458
e  9  10  743
e  9  31  724
e  10  11  671
e  10  30  724
e  11  12  724
e  12  13  537
e  12  54  506
e  12  53  458
e  12  30  671
e  13  14  506
e  14  15  129
e  14  33  171
e  14  54  537
e  15  16  523
e  15  28  171
e  16  17  171
e  17  18  724
e  17  26  618
e  17  28  523
e  18  19  618
e  19  20  998
e  19  35  447
e  19  26  724
e  20  21  447
e  21  22  745
e  21  35  998
e  22  23  542
e  22  29  448
e  22  39  998
e  23  24  448
e  24  25  69
e  24  58  998
e  24  29  542
e  25  157  46
e  25  114  998
e  26  43  447
e  26  36  523
e  27  37  623
e  27  44  724
e  27  45  27
e  28  36  618
e  28  33  129
e  29  42  998
e  30  48  458
e  30  31  743
e  31  46  458
e  31  32  678
e  32  41  458
e  33  40  618
e  33  61  537
e  34  38  504
e  34  81  18
e  34  85  724
e  35  39  745
e  35  47  448
e  35  43  724
e  36  51  447
e  36  40  129
e  37  41  724
e  38  52  18
e  39  42  448
e  40  55  447
e  40  68  458
e  40  64  537
e  41  46  678
e  41  71  46
e  41  44  623
e  42  58  542
e  42  50  724
e  42  47  745
e  43  49  448
e  43  51  523
e  44  60  46
e  44  57  27
e  45  57  724
e  45  52  46
e  46  48  743
e  46  72  46
e  47  49  724
e  48  53  671
e  48  75  618
e  48  73  46
e  49  50  745
e  49  56  523
e  50  77  542
e  50  67  523
e  51  56  448
e  51  55  129
e  52  59  724
e  52  81  504
e  53  63  506
e  53  70  618
e  54  61  171
e  54  63  458
e  55  62  448
e  55  79  458
e  56  67  745
e  56  62  129
e  57  59  46
e  58  114  69
e  58  77  724
e  59  60  27
e  59  88  678
e  59  108  618
e  59  82  504
e  60  71  623
e  60  76  678
e  61  64  618
e  61  65  458
e  62  74  745
e  62  84  458
e  63  65  171
e  64  66  458
e  65  66  618
e  66  68  537
e  66  89  447
e  66  87  46
e  66  69  506
e  67  105  542
e  67  74  129
e  68  79  447
e  69  70  171
e  69  86  46
e  69  78  671
e  70  75  671
e  71  72  678
e  72  73  743
e  72  76  623
e  73  80  618
e  73  90  27
e  74  118  542
e  74  121  46
e  74  98  458
e  75  78  171
e  75  80  46
e  76  88  27
e  77  138  69
e  77  139  46
e  77  105  523
e  78  83  46
e  79  84  448
e  79  89  537
e  80  83  171
e  80  97  27
e  81  82  724
e  82  116  618
e  82  144  347
e  82  85  18
e  83  86  671
e  83  92  506
e  83  104  447
e  83  109  448
e  83  103  27
e  84  98  745
e  84  96  46
e  84  94  537
e  85  112  347
e  86  87  506
e  87  93  447
e  87  92  671
e  88  91  743
e  88  101  618
e  89  94  448
e  89  93  46
e  90  91  623
e  90  97  618
e  91  99  618
e  92  100  447
e  93  95  448
e  93  100  671
e  94  95  46
e  95  96  537
e  95  123  745
e  95  137  27
e  95  102  671
e  96  106  745
e  97  103  171
e  97  99  623
e  98  106  46
e  99  113  171
e  99  120  448
e  99  101  743
e  100  102  448
e  100  104  506
e  101  122  448
e  101  127  504
e  101  108  678
e  102  117  27
e  102  107  506
e  103  110  448
e  103  113  623
e  104  107  448
e  105  133  46
e  105  118  129
e  106  121  458
e  106  131  542
e  106  123  537
e  107  111  27
e  107  109  447
e  108  116  504
e  109  110  27
e  110  111  447
e  110  115  623
e  111  117  506
e  111  146  504
e  111  119  623
e  112  144  18
e  112  152  618
e  112  154  448
e  113  115  448
e  114  150  46
e  114  138  724
e  115  119  447
e  115  120  171
e  116  127  678
e  116  130  448
e  116  147  347
e  117  137  671
e  117  143  745
e  117  148  504
e  118  125  46
e  119  136  504
e  119  128  743
e  119  124  171
e  120  124  447
e  120  122  743
e  121  125  542
e  122  126  447
e  122  129  504
e  123  141  27
e  124  126  743
e  125  133  129
e  125  131  458
e  126  128  171
e  126  132  504
e  127  129  448
e  128  134  504
e  129  132  447
e  129  130  678
e  130  135  447
e  130  149  347
e  131  142  129
e  132  134  171
e  132  135  678
e  133  139  523
e  133  142  458
e  134  136  743
e  134  140  678
e  135  140  171
e  135  155  347
e  136  146  623
e  136  151  506
e  137  141  745
e  138  145  46
e  139  145  69
e  139  158  458
e  141  143  671
e  142  158  523
e  143  156  504
e  144  147  618
e  145  150  724
e  145  161  458
e  146  148  506
e  147  149  448
e  147  152  18
e  148  156  745
e  148  151  623
e  149  155  447
e  149  153  18
e  150  157  998
e  151  159  745
e  152  153  448
e  153  160  447
e  153  154  618
e  155  160  18
e  156  159  623
e  157  162  183
e  158  161  69
