p   edge 41  70
e  0  39  944
e  0  13  114
e  0  10  524
e  1  2  570
e  1  34  872
e  1  38  65
e  2  3  862
e  2  26  872
e  3  4  95
e  3  24  872
e  4  5  944
e  4  16  736
e  4  23  872
e  5  6  14
e  5  14  736
e  6  7  736
e  7  8  114
e  7  11  872
e  7  14  14
e  8  9  872
e  9  10  65
e  9  11  114
e  10  12  114
e  11  12  65
e  11  15  14
e  12  13  524
e  12  17  14
e  13  22  944
e  13  20  14
e  14  15  872
e  14  16  944
e  15  17  65
e  15  18  944
e  16  18  872
e  17  20  524
e  17  19  944
e  18  19  65
e  18  25  95
e  18  23  736
e  19  21  524
e  19  30  862
e  19  28  95
e  20  21  944
e  21  22  14
e  21  31  862
e  22  39  114
e  22  40  862
e  23  24  95
e  24  25  736
e  24  26  862
e  25  28  65
e  25  27  862
e  26  27  736
e  26  33  65
e  26  34  570
e  27  29  65
e  28  29  862
e  29  30  95
e  29  32  524
e  29  36  570
e  29  33  736
e  30  31  524
e  31  40  14
e  31  32  95
e  32  37  570
e  33  35  570
e  34  35  65
e  35  36  736
e  35  38  872
e  36  37  524
