p   edge 42  72
e  0  14  669
e  0  10  560
e  1  2  481
e  1  31  413
e  1  40  729
e  2  3  389
e  2  19  413
e  3  4  139
e  3  16  413
e  4  5  413
e  5  6  916
e  5  15  729
e  5  16  139
e  6  7  669
e  6  11  729
e  7  8  729
e  8  9  232
e  8  11  669
e  9  10  131
e  9  12  669
e  10  13  669
e  11  12  232
e  11  17  131
e  11  15  916
e  12  13  131
e  13  14  560
e  13  24  139
e  13  17  232
e  14  32  389
e  14  26  139
e  15  20  131
e  15  18  139
e  16  18  729
e  16  19  389
e  17  23  139
e  17  20  916
e  18  22  131
e  18  21  389
e  19  21  729
e  19  31  481
e  20  22  139
e  21  25  131
e  21  33  481
e  22  23  916
e  22  25  389
e  23  24  232
e  23  27  389
e  24  26  560
e  24  28  389
e  25  27  916
e  25  30  232
e  25  36  560
e  25  35  481
e  26  29  389
e  27  28  232
e  28  29  560
e  28  30  916
e  29  32  139
e  29  39  481
e  29  34  916
e  30  34  560
e  31  33  729
e  33  35  131
e  33  40  413
e  34  38  481
e  34  36  232
e  35  37  560
e  35  41  413
e  36  37  481
e  37  38  232
e  38  39  916
e  40  41  131
