p   edge 37  64
e  0  28  369
e  0  9  897
e  0  8  384
e  1  2  369
e  1  16  440
e  1  18  551
e  1  25  384
e  2  3  440
e  3  4  467
e  3  10  551
e  3  16  369
e  4  5  551
e  5  6  542
e  5  10  467
e  6  7  163
e  6  11  467
e  7  8  897
e  7  9  384
e  7  12  467
e  9  27  369
e  9  13  467
e  10  11  542
e  10  14  163
e  10  17  369
e  11  12  163
e  12  13  384
e  12  14  542
e  13  22  369
e  13  15  542
e  14  15  384
e  14  19  369
e  15  20  369
e  16  17  551
e  17  19  163
e  17  21  384
e  17  18  440
e  18  23  384
e  19  20  384
e  20  22  542
e  20  30  897
e  20  24  440
e  20  21  163
e  21  23  440
e  22  27  467
e  22  29  897
e  23  24  163
e  23  25  551
e  24  31  897
e  24  26  551
e  25  26  163
e  25  36  897
e  26  32  897
e  27  28  897
e  28  35  440
e  28  29  467
e  29  33  440
e  29  30  542
e  30  31  440
e  31  33  542
e  31  32  551
e  32  34  542
e  32  36  163
e  33  35  467
e  33  34  551
