p   edge 1480  2823
e  0  1471  327
e  0  77  703
e  1  2  469
e  1  576  283
e  2  3  816
e  2  119  283
e  3  4  796
e  3  110  283
e  4  5  496
e  4  99  283
e  5  6  793
e  5  80  283
e  6  7  283
e  7  8  177
e  7  80  793
e  8  9  157
e  8  111  793
e  9  10  857
e  9  96  489
e  9  115  793
e  10  11  489
e  11  12  824
e  11  100  882
e  11  96  857
e  12  13  882
e  13  14  490
e  13  100  824
e  14  15  86
e  14  223  857
e  15  16  821
e  15  117  36
e  15  282  857
e  16  17  640
e  16  108  36
e  17  18  36
e  18  19  5
e  18  108  640
e  19  20  584
e  19  126  668
e  19  123  640
e  20  21  852
e  20  82  668
e  21  22  668
e  22  23  377
e  22  82  852
e  23  24  258
e  23  88  718
e  23  92  852
e  24  25  198
e  24  78  718
e  25  26  718
e  26  27  751
e  26  106  677
e  26  78  198
e  27  28  414
e  27  102  677
e  28  29  327
e  28  97  677
e  29  30  677
e  30  31  487
e  30  97  327
e  31  32  842
e  31  112  412
e  31  109  327
e  32  33  412
e  33  34  91
e  33  142  837
e  33  129  327
e  33  112  842
e  34  35  837
e  35  36  808
e  35  89  83
e  35  142  91
e  36  37  83
e  37  38  844
e  37  89  808
e  38  39  223
e  38  83  598
e  38  90  808
e  39  40  598
e  40  41  574
e  40  83  223
e  41  42  52
e  41  116  223
e  42  43  389
e  42  84  153
e  42  140  223
e  43  44  83
e  43  79  153
e  44  45  153
e  45  46  666
e  45  79  83
e  46  47  308
e  46  94  966
e  46  85  83
e  47  48  966
e  48  49  989
e  48  94  308
e  49  50  400
e  49  107  308
e  50  51  166
e  50  206  821
e  50  133  308
e  51  52  550
e  51  180  821
e  52  53  580
e  52  93  821
e  53  54  821
e  54  55  483
e  54  103  410
e  54  93  580
e  55  56  410
e  56  57  555
e  56  86  742
e  56  103  483
e  57  58  742
e  58  59  304
e  58  120  755
e  58  86  555
e  59  60  919
e  59  87  755
e  60  61  654
e  60  81  755
e  61  62  755
e  62  63  946
e  62  98  972
e  62  81  654
e  63  64  972
e  64  65  283
e  64  105  654
e  64  98  946
e  65  66  311
e  65  146  654
e  66  67  50
e  66  154  201
e  67  68  201
e  68  69  545
e  68  121  642
e  68  171  654
e  68  154  50
e  69  70  642
e  70  71  321
e  70  121  545
e  71  72  333
e  71  161  545
e  72  73  817
e  72  135  369
e  72  192  545
e  73  74  310
e  73  95  369
e  74  75  369
e  75  76  700
e  75  95  310
e  76  77  11
e  76  162  310
e  77  1419  327
e  77  592  654
e  77  233  310
e  78  125  677
e  78  88  258
e  79  85  666
e  79  84  389
e  80  111  177
e  80  99  496
e  81  101  972
e  81  87  919
e  82  92  377
e  82  126  584
e  83  116  574
e  83  152  52
e  83  132  808
e  84  91  666
e  84  165  223
e  85  127  966
e  85  91  389
e  86  182  972
e  86  147  483
e  87  104  972
e  87  120  304
e  88  139  677
e  88  114  852
e  89  90  844
e  89  168  91
e  90  132  598
e  90  205  327
e  90  188  91
e  91  143  966
e  91  185  223
e  92  114  718
e  93  164  410
e  93  180  550
e  94  107  989
e  94  127  83
e  95  162  700
e  95  349  654
e  95  300  545
e  95  135  817
e  96  128  882
e  96  150  793
e  97  109  487
e  97  102  414
e  98  101  654
e  99  131  177
e  99  110  796
e  100  128  857
e  101  105  946
e  101  104  919
e  102  118  487
e  102  106  751
e  103  147  742
e  103  164  580
e  104  113  946
e  104  134  304
e  105  146  283
e  105  113  919
e  106  124  487
e  106  125  198
e  107  133  400
e  107  145  83
e  108  123  5
e  108  117  821
e  109  122  412
e  109  118  414
e  110  156  177
e  110  119  816
e  111  115  157
e  111  131  496
e  112  122  327
e  113  153  283
e  113  190  201
e  113  183  304
e  114  149  677
e  114  198  640
e  114  175  584
e  115  150  489
e  115  137  496
e  116  140  52
e  117  138  5
e  117  284  857
e  118  130  412
e  118  124  751
e  119  196  177
e  119  329  882
e  119  947  677
e  119  1271  153
e  119  576  469
e  120  134  972
e  121  161  321
e  121  231  654
e  122  129  842
e  122  130  414
e  123  167  668
e  123  138  821
e  124  136  412
e  124  141  198
e  125  141  487
e  125  139  258
e  126  176  718
e  126  167  640
e  127  145  989
e  127  143  389
e  128  224  490
e  128  173  496
e  129  186  837
e  129  144  414
e  130  144  842
e  130  136  751
e  131  137  157
e  131  156  796
e  132  189  52
e  132  236  327
e  133  244  821
e  133  155  83
e  134  183  946
e  134  230  201
e  134  181  555
e  135  202  545
e  136  151  842
e  136  148  198
e  137  157  489
e  137  166  796
e  138  187  668
e  138  370  677
e  138  369  857
e  139  158  487
e  139  149  852
e  140  165  153
e  140  152  574
e  141  148  412
e  141  158  258
e  142  168  83
e  142  186  327
e  143  169  989
e  143  201  400
e  143  221  223
e  144  204  837
e  144  151  751
e  145  155  400
e  145  169  389
e  146  160  201
e  146  153  919
e  147  222  972
e  147  260  580
e  148  172  842
e  148  163  258
e  149  178  412
e  149  212  640
e  150  157  496
e  151  216  837
e  151  172  198
e  152  200  153
e  152  189  808
e  153  170  201
e  154  159  654
e  155  255  821
e  155  179  389
e  156  166  157
e  156  196  816
e  157  174  882
e  157  197  796
e  158  163  412
e  159  160  311
e  159  171  50
e  159  184  919
e  160  170  919
e  161  192  333
e  161  232  369
e  161  243  654
e  162  233  11
e  162  408  654
e  163  213  842
e  163  177  852
e  164  260  742
e  164  251  550
e  165  185  666
e  165  200  574
e  166  197  489
e  166  209  816
e  167  193  718
e  167  187  821
e  168  188  844
e  168  194  327
e  169  179  400
