p   edge 536  1022
e  0  473  146
e  0  451  124
e  0  399  73
e  0  183  293
e  0  45  144
e  0  33  575
e  1  2  822
e  1  241  301
e  1  526  575
e  2  3  146
e  2  49  740
e  2  195  196
e  2  220  301
e  3  4  740
e  4  5  785
e  4  92  580
e  4  49  146
e  5  6  799
e  5  74  580
e  6  7  124
e  6  51  580
e  7  8  73
e  7  34  580
e  8  9  580
e  9  10  346
e  9  34  73
e  10  11  310
e  10  37  504
e  10  35  73
e  11  12  504
e  12  13  165
e  12  41  194
e  12  47  586
e  12  61  196
e  12  43  73
e  12  37  310
e  13  14  194
e  14  15  459
e  14  36  586
e  14  41  165
e  15  16  586
e  16  17  293
e  16  40  196
e  16  36  459
e  17  18  720
e  18  19  196
e  19  20  39
e  19  39  293
e  20  21  353
e  20  50  293
e  21  22  730
e  21  58  293
e  22  23  559
e  22  67  293
e  23  24  157
e  23  72  588
e  24  25  933
e  24  59  588
e  25  26  588
e  26  27  195
e  26  56  732
e  26  59  933
e  27  28  385
e  27  53  732
e  28  29  741
e  28  46  732
e  29  30  732
e  30  31  767
e  30  42  301
e  30  46  741
e  31  32  301
e  32  33  144
e  32  45  575
e  32  42  767
e  34  35  346
e  34  51  124
e  35  38  504
e  35  55  124
e  36  48  196
e  36  44  165
e  37  38  73
e  38  43  310
e  38  70  196
e  38  57  124
e  39  40  720
e  39  50  39
e  40  65  39
e  40  48  459
e  41  44  586
e  42  83  575
e  42  60  741
e  43  62  196
e  44  52  196
e  44  47  194
e  45  182  293
e  45  83  767
e  46  60  301
e  46  53  385
e  47  54  196
e  48  66  39
e  48  52  165
e  49  130  580
e  50  58  353
e  50  71  459
e  50  65  720
e  51  55  346
e  51  64  504
e  51  74  799
e  52  75  39
e  52  73  73
e  52  54  194
e  53  69  301
e  53  56  195
e  54  63  73
e  54  61  586
e  55  57  504
e  56  68  933
e  57  80  196
e  57  64  346
e  58  67  730
e  58  84  588
e  58  94  459
e  59  68  732
e  59  72  157
e  60  144  575
e  60  135  293
e  60  97  933
e  60  69  385
e  61  62  73
e  62  63  586
e  62  70  310
e  63  73  194
e  63  132  301
e  63  123  124
e  63  93  310
e  64  100  799
e  65  66  459
e  66  71  720
e  66  75  165
e  67  77  588
e  68  79  301
e  68  87  293
e  68  81  157
e  69  78  933
e  70  93  586
e  70  80  124
e  71  94  353
e  71  101  588
e  71  85  165
e  72  81  732
e  72  76  293
e  73  112  39
e  73  124  301
e  74  100  504
e  74  92  785
e  75  85  720
e  75  114  732
e  75  116  301
e  75  112  73
e  76  77  559
e  76  82  732
e  77  86  732
e  77  84  730
e  78  79  195
e  78  97  385
e  78  96  293
e  79  88  293
e  80  109  586
e  80  157  301
e  80  121  799
e  81  82  293
e  82  87  157
e  82  89  301
e  82  86  559
e  83  164  293
e  83  144  741
e  84  90  732
e  84  98  459
e  85  103  588
e  85  110  732
e  86  91  301
e  86  90  730
e  87  88  301
e  88  96  195
e  88  89  157
e  89  111  195
e  89  91  559
e  90  95  301
e  90  99  459
e  91  95  730
e  92  134  504
e  92  145  196
e  92  130  146
e  93  109  124
e  94  98  588
e  95  127  195
e  95  102  459
e  96  118  385
e  96  111  157
e  97  118  293
e  98  99  732
e  98  101  353
e  99  102  301
e  99  106  165
e  99  104  353
e  100  122  196
e  100  134  785
e  101  104  732
e  101  103  165
e  102  128  195
e  102  107  165
e  103  105  732
e  104  105  165
e  105  106  353
e  105  108  301
e  105  110  588
e  106  107  301
e  107  131  195
e  107  148  73
e  107  108  353
e  108  146  73
e  108  117  720
e  108  113  588
e  109  123  310
e  109  142  301
e  110  113  301
e  110  114  720
e  111  143  385
e  111  136  459
e  111  126  730
e  112  119  301
e  113  115  720
e  114  115  301
e  115  117  588
e  115  120  73
e  115  116  732
e  116  119  73
e  117  125  73
e  118  135  933
e  118  166  575
e  118  158  459
e  118  143  157
e  119  120  732
e  119  124  39
e  120  125  588
e  120  129  39
e  121  122  346
e  121  171  301
e  121  168  785
e  122  139  785
e  123  140  301
e  124  129  732
e  124  132  194
e  125  146  720
e  125  152  353
e  125  160  195
e  125  175  124
e  125  137  39
e  126  127  559
e  126  133  459
e  127  128  459
e  128  133  559
e  128  131  165
e  129  137  588
e  129  138  194
e  130  163  196
e  131  141  559
e  131  170  385
e  131  153  73
e  132  138  732
e  132  140  124
e  133  136  730
e  133  141  165
e  134  139  196
e  135  155  575
e  136  150  385
e  136  147  165
e  137  174  124
e  137  151  194
e  138  151  588
e  138  149  124
e  139  168  346
e  139  181  301
e  139  167  146
e  139  145  504
e  140  149  732
e  140  142  310
e  141  147  730
e  141  161  385
e  142  156  732
e  142  157  586
e  143  150  459
e  144  155  293
e  145  163  146
e  146  148  353
e  147  154  385
e  148  153  195
e  148  152  720
e  149  162  588
e  149  156  310
e  150  158  157
e  150  154  165
e  151  162  124
e  152  159  195
e  153  172  385
e  153  159  720
e  154  165  157
e  154  185  575
e  154  188  73
e  154  161  730
e  155  164  741
e  155  166  933
e  156  169  588
e  156  173  586
e  157  173  732
e  157  171  799
e  158  177  575
e  158  165  165
e  159  186  385
e  159  160  353
e  160  203  385
e  160  187  124
e  161  176  73
e  161  170  559
e  162  174  194
e  162  178  39
e  162  205  195
e  162  169  310
e  163  167  504
e  163  193  301
e  163  194  740
e  164  182  767
e  164  198  144
e  164  192  933
e  165  179  575
e  166  192  741
e  166  177  459
e  167  184  301
e  168  180  301
e  169  210  195
e  169  233  799
e  169  201  586
e  170  172  73
e  171  189  732
e  171  180  785
e  172  176  559
e  172  202  575
e  172  186  720
e  173  201  588
e  173  189  799
e  174  175  39
e  175  187  195
e  175  178  194
e  176  188  730
e  176  191  575
e  177  204  741
e  177  179  165
e  178  196  195
e  179  206  741
e  179  197  73
e  179  185  157
e  180  200  732
e  180  199  146
e  180  181  346
e  181  184  146
e  182  183  144
e  183  339  73
e  183  240  165
e  183  223  459
e  183  198  767
e  184  199  346
e  184  212  732
e  184  193  504
e  185  190  73
e  186  208  575
e  186  203  353
e  187  214  385
e  187  196  194
e  188  190  575
e  189  213  588
e  189  200  785
e  190  197  157
e  190  191  730
e  191  237  157
e  191  252  144
e  191  248  124
e  191  236  720
e  191  202  559
e  192  216  144
e  192  204  459
e  193  231  732
e  193  207  740
e  194  195  580
e  194  207  301
e  195  211  301
e  196  235  575
e  196  215  310
e  196  205  39
e  197  228  741
e  197  238  144
e  197  237  730
e  198  219  459
e  198  216  933
e  199  209  732
e  200  229  588
e  200  209  146
e  201  213  799
e  202  208  720
e  203  222  575
e  203  214  124
e  204  217  144
e  204  206  165
e  205  210  310
e  206  218  144
e  206  228  73
e  207  242  732
e  207  211  580
e  208  236  559
e  208  226  124
e  208  222  353
e  209  232  588
e  209  212  346
e  210  215  39
e  210  247  575
e  210  253  799
e  211  254  732
e  211  258  822
e  211  220  196
e  212  251  588
e  212  250  740
e  212  231  504
e  213  233  586
e  213  229  785
e  214  224  575
e  215  243  575
e  216  217  459
e  217  219  933
e  217  218  165
e  218  221  933
e  218  227  767
e  218  230  73
e  219  223  767
e  219  221  165
e  220  241  822
e  221  225  767
e  222  224  124
e  223  225  165
e  224  226  353
e  224  282  144
e  224  234  194
e  225  240  459
e  225  246  73
e  225  227  933
e  226  245  559
e  226  270  144
e  227  239  73
e  228  230  144
e  229  262  195
e  229  232  146
e  230  239  767
e  230  238  741
