p   edge 329  615
e  0  266  146
e  0  244  124
e  0  192  73
e  0  33  293
e  1  2  822
e  1  34  301
e  1  319  575
e  2  3  301
e  3  4  196
e  3  34  822
e  4  5  580
e  4  47  732
e  4  51  822
e  5  6  740
e  5  35  732
e  6  7  732
e  7  8  504
e  7  35  740
e  8  9  346
e  8  44  588
e  8  43  740
e  9  10  588
e  10  11  146
e  10  60  195
e  10  86  575
e  10  44  346
e  11  12  785
e  11  55  195
e  12  13  586
e  13  14  799
e  13  46  195
e  14  15  195
e  15  16  39
e  15  40  575
e  15  46  799
e  16  17  310
e  16  36  575
e  17  18  575
e  18  19  385
e  18  36  310
e  19  20  194
e  19  76  144
e  19  37  310
e  20  21  353
e  20  75  144
e  21  22  124
e  21  38  559
e  21  63  144
e  22  23  559
e  23  24  720
e  23  38  124
e  24  25  157
e  24  45  144
e  24  41  124
e  25  26  730
e  25  42  144
e  26  27  144
e  27  28  741
e  27  49  767
e  27  42  730
e  28  29  767
e  29  30  73
e  29  39  933
e  29  66  124
e  29  58  730
e  29  49  741
e  30  31  933
e  31  32  459
e  31  39  73
e  32  33  165
e  32  111  73
e  33  132  73
e  34  51  196
e  34  82  732
e  34  234  575
e  35  43  504
e  35  74  588
e  35  47  580
e  36  37  385
e  36  40  39
e  37  78  144
e  37  87  799
e  37  52  39
e  38  41  720
e  38  50  144
e  39  111  459
e  39  95  124
e  40  52  385
e  40  56  799
e  41  48  144
e  42  53  767
e  42  57  124
e  42  45  157
e  43  64  588
e  44  88  575
e  44  64  740
e  45  48  124
e  46  56  575
e  46  54  785
e  47  97  588
e  47  70  822
e  48  57  157
e  48  61  767
e  48  50  720
e  49  53  730
e  50  71  767
e  50  63  559
e  51  70  732
e  52  73  799
e  53  58  741
e  53  59  124
e  54  55  586
e  54  67  575
e  54  65  146
e  55  60  146
e  56  73  385
e  56  79  146
e  56  67  785
e  57  59  767
e  58  62  124
e  59  62  741
e  59  61  157
e  60  65  586
e  60  72  575
e  61  68  741
e  61  71  720
e  62  66  730
e  62  90  720
e  62  68  157
e  63  84  767
e  63  80  310
e  63  75  353
e  64  92  575
e  64  74  504
e  65  69  575
e  66  95  933
e  66  157  310
e  66  131  720
e  67  69  146
e  68  77  720
e  69  79  785
e  69  85  385
e  69  72  586
e  70  105  588
e  70  154  575
e  70  82  196
e  71  77  741
e  71  99  310
e  71  84  559
e  72  100  385
e  72  107  740
e  72  93  346
e  72  86  195
e  73  87  39
e  73  83  146
e  74  112  575
e  74  114  822
e  74  97  580
e  75  76  194
e  76  78  310
e  77  90  157
e  77  103  310
e  78  81  353
e  78  94  767
e  78  96  799
e  79  83  385
e  80  81  194
e  80  89  767
e  81  91  767
e  82  165  575
e  83  101  39
e  83  104  144
e  83  85  785
e  84  89  310
e  85  106  144
e  85  100  586
e  86  88  346
e  87  96  144
e  87  101  146
e  88  93  195
e  88  92  740
e  89  99  559
e  89  91  194
e  90  131  730
e  90  125  310
e  91  110  741
e  91  94  353
e  92  98  195
e  92  112  504
e  93  98  740
e  94  121  741
e  94  113  799
e  95  190  459
e  95  181  146
e  95  167  310
e  96  113  767
e  96  102  146
e  97  105  822
e  98  107  346
e  98  124  385
e  98  148  144
e  98  147  822
e  98  122  504
e  99  103  741
e  100  120  144
e  100  118  740
e  101  102  144
e  102  115  767
e  102  108  785
e  102  104  39
e  103  125  157
e  103  109  194
e  104  106  785
e  105  114  580
e  105  119  575
e  106  108  39
e  106  128  767
e  106  140  740
e  106  120  586
e  107  118  385
e  108  116  767
e  109  110  559
e  109  142  157
e  109  141  146
e  109  135  799
e  110  127  799
e  110  121  353
e  111  132  165
e  111  190  124
e  112  122  195
e  112  117  822
e  113  123  741
e  113  115  146
e  114  117  575
e  115  126  741
e  115  116  785
e  116  134  741
e  116  159  740
e  116  128  39
e  117  133  195
e  117  119  580
e  118  129  144
e  118  124  346
e  119  139  195
e  119  193  144
e  119  173  196
e  119  154  588
e  120  129  740
e  121  123  799
e  122  133  822
e  123  127  353
e  123  126  146
e  124  136  144
e  125  146  730
e  125  156  146
e  125  142  194
e  126  130  353
e  126  134  785
e  127  135  559
e  127  130  146
e  128  143  740
e  129  140  586
e  129  144  767
e  129  136  346
e  130  137  559
e  130  138  785
e  131  146  310
e  132  192  293
e  132  207  124
e  133  147  504
e  133  152  144
e  133  139  580
e  134  138  353
e  134  176  559
e  134  162  740
e  135  137  146
e  136  158  767
e  136  153  822
e  136  148  385
e  137  141  799
e  137  150  157
e  137  145  785
e  138  145  559
e  139  164  144
e  140  143  767
e  141  149  157
e  142  149  146
e  143  159  39
e  143  166  741
e  143  144  586
e  144  175  741
e  144  158  346
e  145  161  157
e  145  185  740
e  145  176  353
e  146  157  720
e  146  163  146
e  147  151  144
e  148  151  822
e  149  156  194
e  149  150  799
e  150  160  194
e  150  161  785
e  151  153  385
e  151  152  504
e  152  155  385
e  152  164  580
e  153  170  767
e  153  155  504
e  154  165  196
e  155  174  767
e  155  171  580
e  156  163  730
e  156  160  799
e  157  167  933
e  157  169  146
e  158  182  741
e  158  170  822
e  159  162  741
e  160  168  730
e  161  178  730
e  161  191  740
e  162  183  559
e  162  197  822
e  162  166  39
e  163  169  720
e  163  168  799
e  164  171  385
e  164  217  767
e  164  214  196
e  164  193  195
e  165  173  588
e  165  222  144
e  165  234  732
e  166  196  822
e  166  175  586
e  167  172  146
e  168  180  933
e  168  177  785
e  169  172  933
e  170  188  741
e  170  174  504
e  171  186  767
e  172  181  310
e  172  179  799
e  173  203  144
e  174  200  741
e  174  186  580
e  175  195  822
e  175  182  346
e  176  183  740
e  177  178  194
e  177  184  933
e  178  189  933
e  178  201  740
e  179  180  720
e  179  194  310
e  179  187  785
e  180  184  785
e  181  226  459
e  181  243  785
e  181  194  799
e  182  188  822
e  183  185  353
e  183  208  822
e  184  187  720
e  184  189  194
e  185  191  157
e  185  210  822
e  186  209  741
e  186  229  196
e  186  217  385
e  187  206  310
e  187  216  740
e  187  205  194
e  188  195  346
e  188  199  39
e  188  200  504
e  189  205  720
e  189  202  740
e  190  207  165
e  190  224  293
e  190  226  146
e  191  201  730
e  191  204  933
e  191  213  822
e  192  212  124
e  193  203  196
e  194  206  785
e  195  196  586
e  196  197  39
e  197  208  559
e  197  198  346
e  198  199  586
e  198  215  559
e  199  219  559
e  199  231  504
e  200  231  39
e  200  209  580
e  201  202  933
e  202  211  720
e  202  221  822
e  202  204  730
e  203  214  195
e  203  248  767
e  203  222  588
e  204  220  822
e  205  211  740
e  206  243  799
e  206  252  459
e  206  235  740
e  207  212  293
e  208  210  353
e  208  215  346
e  209  240  559
e  209  301  933
e  209  263  196
e  210  213  157
e  210  218  346
e  211  216  194
e  211  228  822
e  212  244  73
e  212  237  146
e  212  224  165
e  213  220  933
e  213  223  346
e  214  225  767
e  215  218  353
e  215  219  586
e  216  235  310
e  216  238  822
e  217  225  196
e  218  223  157
e  218  227  586
e  219  227  353
e  219  241  157
e  219  236  504
e  220  221  730
e  220  230  346
e  221  228  720
e  221  242  346
e  222  274  767
e  222  282  732
e  223  230  933
e  223  232  586
e  224  233  146
e  225  229  385
e  225  300  588
e  225  248  195
e  226  233  293
e  226  251  785
e  227  232  157
e  228  238  194
e  228  272  346
e  229  263  741
e  229  317  588
e  230  242  730
e  230  247  586
e  231  236  559
e  232  247  933
e  232  246  504
e  232  241  353
e  233  237  165
e  233  254  785
e  234  282  144
e  234  319  301
e  235  259  459
e  235  261  293
e  235  258  822
e  236  245  157
e  236  239  580
e  237  257  73
e  237  284  740
e  237  262  785
e  238  258  310
e  238  283  293
e  238  291  346
e  239  240  39
e  239  249  157
e  240  268  157
e  240  289  933
e  241  245  504
e  242  272  720
e  242  279  580
e  242  271  504
e  242  265  586
e  243  251  459
e  244  257  146
e  245  246  353
e  245  249  580
e  246  253  933
e  246  250  580
e  247  265  730
e  247  253  504
e  248  274  588
e  249  250  353
e  249  269  933
e  249  268  39
e  250  256  933
e  251  254  293
e  251  252  799
e  252  255  293
e  252  259  740
e  253  267  730
e  253  256  580
e  254  262  165
e  254  255  799
e  255  264  165
e  255  260  740
e  256  270  730
e  256  290  39
