p   edge 29  49
e  0  15  940
e  0  13  577
e  0  7  487
e  1  2  940
e  1  8  758
e  1  11  634
e  1  21  487
e  2  3  758
e  3  4  634
e  3  8  940
e  4  5  620
e  4  9  940
e  5  6  98
e  5  10  940
e  6  7  577
e  6  13  487
e  6  12  940
e  8  9  634
e  9  10  620
e  9  18  487
e  9  11  758
e  10  12  98
e  10  16  487
e  11  20  487
e  12  14  487
e  13  14  940
e  14  15  577
e  14  16  98
e  15  26  758
e  15  22  620
e  15  17  98
e  16  17  577
e  16  18  620
e  17  19  620
e  18  19  577
e  18  20  758
e  19  22  98
e  19  23  758
e  20  23  577
e  20  21  634
e  21  24  577
e  22  25  758
e  23  25  98
e  23  24  634
e  24  27  98
e  25  26  620
e  25  27  634
e  26  28  634
e  27  28  620
