p   edge 29  49
e  0  23  266
e  0  21  9
e  0  10  774
e  0  7  586
e  1  2  266
e  1  9  477
e  1  14  751
e  1  18  705
e  1  26  586
e  2  3  477
e  3  4  751
e  3  9  266
e  4  5  9
e  4  12  705
e  4  11  266
e  5  6  774
e  5  8  705
e  6  7  705
e  7  8  774
e  8  10  586
e  8  12  9
e  9  11  751
e  10  13  9
e  11  15  705
e  11  14  477
e  12  13  586
e  12  15  266
e  13  21  774
e  13  16  266
e  14  17  705
e  15  16  586
e  15  17  477
e  16  22  774
e  16  19  477
e  17  19  586
e  17  18  751
e  18  20  586
e  19  24  774
e  19  20  751
e  20  25  774
e  20  26  705
e  21  22  266
e  22  23  9
e  22  24  477
e  23  27  477
e  24  27  9
e  24  25  751
e  25  28  9
e  27  28  751
