p   edge 968  1856
e  0  954  113
e  0  862  234
e  0  491  227
e  0  78  930
e  0  45  671
e  1  2  113
e  1  347  707
e  1  476  392
e  1  507  953
e  1  903  718
e  2  3  26
e  2  261  707
e  3  4  898
e  3  213  707
e  4  5  234
e  4  102  207
e  4  120  600
e  4  162  707
e  5  6  207
e  6  7  600
e  6  102  234
e  7  8  142
e  7  108  234
e  8  9  227
e  8  72  30
e  8  109  707
e  8  121  234
e  9  10  30
e  10  11  721
e  10  64  707
e  10  72  227
e  11  12  901
e  11  58  707
e  12  13  894
e  12  54  707
e  13  14  707
e  14  15  741
e  14  54  894
e  15  16  162
e  15  62  894
e  16  17  88
e  16  51  357
e  16  79  721
e  17  18  357
e  18  19  259
e  18  51  88
e  19  20  176
e  19  77  88
e  20  21  802
e  20  87  88
e  21  22  391
e  21  69  797
e  21  95  234
e  21  92  88
e  22  23  797
e  23  24  668
e  23  55  234
e  23  69  391
e  24  25  234
e  25  26  266
e  25  65  662
e  25  73  667
e  25  55  668
e  26  27  662
e  27  28  515
e  27  53  667
e  27  65  266
e  28  29  767
e  28  46  667
e  29  30  667
e  30  31  686
e  30  46  767
e  31  32  727
e  31  48  767
e  32  33  227
e  32  56  392
e  32  52  767
e  33  34  392
e  34  35  681
e  34  56  227
e  35  36  668
e  35  117  953
e  35  131  767
e  35  104  227
e  36  37  670
e  36  83  953
e  37  38  339
e  37  74  953
e  38  39  708
e  38  59  953
e  39  40  684
e  39  50  953
e  40  41  953
e  41  42  970
e  41  49  718
e  41  50  684
e  42  43  930
e  42  47  718
e  43  44  718
e  44  45  459
e  44  47  930
e  45  57  930
e  46  48  686
e  46  53  515
e  47  57  459
e  47  49  970
e  48  52  727
e  48  61  515
e  49  60  459
e  49  71  684
e  50  71  718
e  50  59  708
e  51  77  259
e  51  93  176
e  51  106  721
e  52  89  392
e  52  66  515
e  53  61  686
e  53  68  266
e  54  62  741
e  54  58  901
e  55  99  667
e  55  75  391
e  56  104  681
e  56  89  767
e  57  78  671
e  57  60  970
e  58  63  741
e  58  64  721
e  59  81  718
e  59  90  670
e  59  74  339
e  60  82  671
e  60  149  670
e  60  91  684
e  61  66  727
e  61  70  266
e  62  76  721
e  62  63  901
e  63  67  721
e  64  67  741
e  64  88  227
e  65  68  667
e  66  100  392
e  66  84  266
e  67  76  901
e  67  85  162
e  67  94  227
e  68  70  686
e  68  73  662
e  69  75  234
e  70  84  727
e  70  118  391
e  70  86  662
e  71  91  459
e  71  81  708
e  72  88  707
e  73  86  686
e  73  99  668
e  74  83  670
e  75  101  667
e  75  114  88
e  75  95  797
e  76  80  162
e  77  87  176
e  78  422  670
e  78  82  970
e  79  80  894
e  79  106  357
e  80  123  357
e  80  122  227
e  80  85  901
e  81  96  670
e  82  174  670
e  83  90  339
e  83  98  718
e  83  117  668
e  84  105  392
e  84  125  391
e  85  110  227
e  86  116  391
e  86  103  668
e  87  92  802
e  87  93  259
e  88  94  741
e  88  109  30
e  89  115  681
e  89  100  515
e  90  96  718
e  91  112  670
e  92  111  234
e  92  97  259
e  93  97  802
e  93  129  721
e  94  110  162
e  94  184  357
e  94  163  234
e  94  133  30
e  95  111  88
e  96  113  459
e  96  98  339
e  97  124  234
e  97  137  721
e  98  148  459
e  98  138  668
e  99  103  686
e  99  101  391
e  100  141  681
e  100  105  266
e  101  107  686
e  101  134  88
e  102  108  600
e  103  107  391
e  104  115  767
e  105  142  681
e  105  132  391
e  106  129  176
e  106  128  227
e  106  123  894
e  107  116  668
e  107  119  662
e  107  146  392
e  107  143  88
e  108  121  142
e  108  145  707
e  108  120  207
e  109  133  741
e  109  139  234
e  110  122  901
e  110  127  357
e  111  114  797
e  111  124  259
e  112  113  708
e  112  149  684
e  112  272  671
e  112  271  767
e  112  248  668
e  113  207  668
e  113  148  339
e  114  134  667
e  114  136  259
e  115  131  227
e  115  176  953
e  115  147  266
e  115  141  515
e  116  118  662
e  117  138  718
e  117  160  767
e  118  125  727
e  118  119  668
e  119  130  727
e  119  140  392
e  120  154  707
e  121  139  707
e  122  126  357
e  123  126  227
e  124  136  797
e  124  151  721
e  125  132  392
e  125  130  668
e  126  128  894
e  126  153  176
e  126  127  901
e  127  155  176
e  127  184  162
e  128  144  176
e  129  137  802
e  129  144  227
e  130  135  392
e  131  160  953
e  132  159  681
e  132  135  668
e  133  152  234
e  134  143  686
e  134  157  259
e  135  172  681
e  135  165  88
e  135  140  727
e  136  157  667
e  136  164  721
e  137  151  234
e  137  150  227
e  138  179  459
e  138  175  767
e  139  152  741
e  139  145  142
e  140  161  88
e  140  146  662
e  141  142  266
