p   edge 56  100
e  0  34  360
e  0  14  213
e  0  10  63
e  1  2  360
e  1  13  664
e  1  32  152
e  1  50  63
e  2  3  664
e  3  4  718
e  3  18  152
e  3  13  360
e  4  5  785
e  4  17  152
e  5  6  53
e  5  11  152
e  6  7  152
e  7  8  836
e  7  12  546
e  7  11  53
e  8  9  546
e  9  10  213
e  9  14  63
e  9  16  53
e  9  12  836
e  11  15  546
e  11  19  718
e  11  17  785
e  12  15  53
e  13  20  152
e  14  30  360
e  14  21  53
e  15  16  836
e  15  25  360
e  15  23  718
e  16  21  63
e  16  26  360
e  17  18  718
e  18  19  785
e  18  20  360
e  19  23  546
e  19  22  360
e  20  22  785
e  20  27  546
e  20  32  664
e  21  28  360
e  22  24  546
e  23  24  360
e  24  25  718
e  24  29  836
e  24  33  63
e  24  27  785
e  25  26  836
e  26  28  63
e  26  29  718
e  27  35  63
e  27  37  664
e  28  30  53
e  28  38  213
e  28  31  718
e  29  31  63
e  30  34  213
e  31  40  213
e  31  36  785
e  31  33  836
e  32  37  546
e  32  48  63
e  33  35  785
e  34  49  664
e  34  41  718
e  34  38  53
e  35  36  836
e  35  39  664
e  36  43  213
e  36  42  664
e  37  39  63
e  38  40  718
e  39  42  836
e  39  51  213
e  39  52  152
e  39  48  546
e  40  41  53
e  40  45  664
e  40  43  785
e  41  46  664
e  42  44  213
e  43  44  664
e  44  45  785
e  44  47  53
e  44  55  152
e  44  51  836
e  45  46  53
e  46  49  718
e  46  47  785
e  48  50  152
e  50  52  546
e  50  54  213
e  51  53  152
e  52  53  213
e  53  55  836
e  53  54  546
