p   edge 36  62
e  0  16  772
e  0  11  207
e  0  8  970
e  1  2  999
e  1  14  783
e  1  25  551
e  1  33  970
e  2  3  772
e  2  9  783
e  3  4  783
e  4  5  839
e  4  9  772
e  5  6  59
e  5  10  772
e  6  7  551
e  6  12  772
e  7  8  207
e  7  11  970
e  7  13  772
e  9  10  839
e  9  14  999
e  10  12  59
e  10  17  999
e  11  15  772
e  12  13  551
e  12  18  999
e  13  15  970
e  13  20  999
e  14  17  839
e  14  19  59
e  14  24  551
e  15  16  207
e  15  21  999
e  16  22  999
e  17  18  59
e  18  20  551
e  18  19  839
e  19  23  551
e  20  21  970
e  20  23  839
e  21  22  207
e  21  27  839
e  22  35  783
e  22  28  839
e  23  27  970
e  23  26  783
e  23  24  59
e  24  25  783
e  25  26  59
e  25  30  970
e  26  29  970
e  27  28  207
e  27  29  783
e  28  31  783
e  29  31  207
e  29  30  59
e  30  32  207
e  30  33  551
e  31  35  839
e  31  32  59
e  32  34  551
e  33  34  207
