p   edge 25  39
e  0  15  588
e  0  9  412
e  1  2  75
e  1  16  702
e  1  24  96
e  2  3  702
e  3  4  278
e  3  10  60
e  3  16  75
e  4  5  60
e  5  6  277
e  5  11  41
e  5  10  278
e  6  7  41
e  7  8  96
e  7  11  277
e  8  9  588
e  8  15  412
e  8  12  277
e  10  13  41
e  10  17  96
e  10  18  75
e  11  12  96
e  11  13  278
e  12  21  412
e  12  14  278
e  13  14  96
e  14  23  412
e  14  20  75
e  14  17  41
e  15  21  277
e  16  18  60
e  16  22  96
e  17  19  75
e  18  19  96
e  19  20  41
e  19  22  60
e  21  23  278
e  22  24  702
