p   edge 1144  2186
e  0  1103  920
e  0  84  310
e  0  70  956
e  1  2  77
e  1  363  10
e  1  912  295
e  2  3  488
e  2  211  10
e  3  4  559
e  3  105  10
e  4  5  587
e  4  89  10
e  5  6  256
e  5  83  10
e  6  7  953
e  6  72  10
e  7  8  10
e  8  9  510
e  8  72  953
e  9  10  728
e  9  78  821
e  9  76  953
e  10  11  792
e  10  74  821
e  11  12  821
e  12  13  352
e  12  81  858
e  12  74  792
e  13  14  858
e  14  15  655
e  14  81  352
e  15  16  537
e  15  106  490
e  15  109  452
e  15  99  352
e  16  17  490
e  17  18  566
e  17  93  452
e  17  106  537
e  18  19  452
e  19  20  7
e  19  93  566
e  20  21  233
e  20  103  566
e  21  22  508
e  21  124  566
e  22  23  513
e  22  145  295
e  22  155  537
e  22  131  566
e  23  24  496
e  23  100  295
e  24  25  594
e  24  90  295
e  25  26  295
e  26  27  277
e  26  111  496
e  26  90  594
e  27  28  427
e  27  125  496
e  28  29  122
e  28  146  496
e  29  30  526
e  29  187  496
e  30  31  780
e  30  101  425
e  30  230  496
e  31  32  117
e  31  79  425
e  32  33  920
e  32  73  425
e  33  34  425
e  34  35  159
e  34  85  801
e  34  73  920
e  35  36  801
e  36  37  203
e  36  94  920
e  36  85  159
e  37  38  520
e  37  126  970
e  37  119  920
e  38  39  643
e  38  113  970
e  39  40  147
e  39  71  970
e  40  41  970
e  41  42  161
e  41  71  147
e  42  43  431
e  42  77  147
e  43  44  477
e  43  91  147
e  44  45  264
e  44  87  389
e  44  120  147
e  45  46  389
e  46  47  445
e  46  87  264
e  47  48  694
e  47  107  264
e  48  49  652
e  48  127  264
e  49  50  81
e  49  196  658
e  49  158  264
e  50  51  911
e  50  179  658
e  51  52  863
e  51  95  658
e  52  53  658
e  53  54  672
e  53  95  863
e  54  55  739
e  54  80  181
e  54  147  863
e  55  56  181
e  56  57  399
e  56  86  168
e  56  80  739
e  57  58  685
e  57  82  168
e  58  59  168
e  59  60  469
e  59  82  685
e  60  61  968
e  60  92  685
e  61  62  997
e  61  128  891
e  61  142  685
e  62  63  334
e  62  116  891
e  63  64  358
e  63  115  891
e  64  65  449
e  64  96  891
e  65  66  272
e  65  75  891
e  66  67  891
e  67  68  39
e  67  75  272
e  68  69  827
e  68  161  956
e  68  97  272
e  69  70  310
e  69  84  956
e  71  77  161
e  71  139  920
e  71  113  643
e  72  76  510
e  72  83  256
e  73  88  801
e  73  79  117
e  74  98  858
e  74  78  728
e  75  97  39
e  75  96  449
e  76  104  821
e  76  135  559
e  76  110  256
e  77  91  431
e  77  202  389
e  77  171  920
e  78  123  858
e  78  104  953
e  79  112  801
e  79  101  780
e  80  132  168
e  80  160  469
e  80  159  863
e  81  99  655
e  81  98  792
e  82  92  469
e  82  86  399
e  83  110  510
e  83  117  559
e  83  89  587
e  84  982  920
e  84  871  147
e  84  382  272
e  84  161  827
e  85  88  920
e  86  102  469
e  86  132  739
e  87  107  445
e  87  157  694
e  87  143  147
e  88  94  159
e  88  150  970
e  88  112  117
e  89  105  559
e  90  100  496
e  91  120  477
e  91  195  389
e  92  142  968
e  92  102  399
e  93  103  7
e  93  108  537
e  94  119  203
e  94  144  970
e  95  147  672
e  95  218  181
e  95  250  147
e  95  232  264
e  95  179  911
e  96  181  39
e  96  121  334
e  96  115  358
e  97  190  956
e  97  181  449
e  98  130  655
e  98  172  452
e  98  154  953
e  98  123  728
e  99  137  452
e  99  130  792
e  100  111  594
e  100  156  277
e  100  167  537
e  100  145  513
e  101  134  801
e  101  287  537
e  101  282  496
e  102  169  968
e  102  189  891
e  102  141  739
e  103  124  233
e  103  114  537
e  104  136  858
e  104  148  559
e  105  117  587
e  105  152  510
e  105  212  821
e  105  211  488
e  106  108  452
e  107  127  694
e  108  114  7
e  108  109  490
e  109  118  7
e  109  137  352
e  110  122  559
e  111  125  277
e  112  170  970
e  112  134  780
e  113  126  520
e  114  133  233
e  114  118  490
e  115  116  334
e  116  121  358
e  116  128  997
e  117  122  510
e  118  166  233
e  118  149  352
e  119  129  970
e  120  143  389
e  121  220  39
e  121  312  685
e  121  219  997
e  122  135  256
e  122  153  821
e  122  152  587
e  123  136  953
e  124  131  508
e  124  133  537
e  125  146  427
e  125  208  537
e  125  156  594
e  126  129  920
e  127  158  652
e  127  174  147
e  127  157  445
e  128  219  358
e  128  165  685
e  129  140  643
e  129  144  203
e  130  151  452
e  131  138  537
e  132  141  469
e  133  138  508
e  133  166  490
e  134  182  970
e  134  320  537
e  135  148  821
e  136  154  728
e  136  191  452
e  136  198  559
e  137  149  7
e  137  151  792
e  138  155  566
e  138  163  295
e  138  176  490
e  139  140  520
e  139  171  161
e  140  201  161
e  140  177  159
e  141  233  891
e  141  222  863
e  141  160  168
e  142  165  891
e  142  169  399
e  143  168  694
e  143  216  431
e  143  195  477
e  144  150  159
e  145  162  537
e  146  187  122
e  146  215  537
e  147  159  181
e  148  198  858
e  148  153  256
e  149  193  233
e  149  200  295
e  149  164  792
e  150  178  643
e  150  170  117
e  151  164  7
e  151  184  953
e  151  172  655
e  152  185  821
e  153  264  858
e  153  322  452
e  153  185  587
e  154  175  452
e  155  162  295
e  156  194  537
e  157  168  147
e  158  209  658
e  158  188  147
e  159  210  469
e  159  263  147
e  159  218  672
e  160  210  863
e  161  190  272
e  162  167  513
e  162  163  566
e  163  173  513
e  163  183  490
e  164  203  295
e  164  192  953
e  165  275  358
e  165  180  399
e  166  176  508
e  166  186  295
e  166  193  352
e  167  194  277
e  167  173  566
e  168  174  445
e  168  244  652
e  168  272  920
e  168  225  431
e  169  180  891
e  170  205  643
e  170  182  780
e  171  243  389
e  171  271  694
e  171  201  520
e  172  175  953
e  173  207  277
e  173  240  352
e  173  229  490
e  174  188  652
e  175  184  655
e  175  199  7
e  175  191  728
e  176  183  295
e  177  178  203
e  177  242  161
e  177  241  117
e  178  205  117
e  179  217  264
e  179  196  81
e  180  380  358
e  180  454  39
e  180  379  863
e  180  296  739
e  180  189  968
e  181  289  956
e  181  220  334
e  182  224  643
e  182  321  537
e  183  229  513
e  183  204  352
e  183  186  508
e  184  192  7
e  185  354  452
e  185  212  510
e  186  197  352
e  187  230  526
e  187  237  537
e  188  221  658
e  188  288  920
e  188  244  445
e  189  233  739
e  190  382  827
e  190  789  147
e  190  381  334
e  190  289  449
e  191  213  7
e  191  228  559
e  192  223  295
e  192  238  728
e  192  199  655
e  193  197  295
e  194  208  594
e  194  207  566
e  195  202  431
e  196  209  264
e  197  204  508
e  197  206  792
e  197  200  233
e  198  228  452
e  198  264  256
e  199  213  728
e  200  203  792
e  201  308  694
e  201  242  159
e  202  216  477
e  202  227  694
e  202  243  920
e  203  206  233
e  203  223  953
e  204  234  513
e  204  214  792
e  205  241  203
e  205  224  780
e  206  214  508
e  206  236  953
e  207  226  594
e  207  268  427
e  207  267  792
e  207  251  352
e  208  215  427
e  208  226  566
e  209  217  81
e  209  221  147
e  210  222  168
e  210  298  147
e  211  346  821
e  211  363  77
e  212  446  452
e  212  346  488
e  213  238  655
e  213  257  295
e  213  248  559
e  214  239  513
e  214  246  953
e  215  237  122
e  215  235  566
e  216  225  694
e  217  232  911
e  217  231  147
e  218  256  147
e  219  275  685
