p   edge 118  219
e  0  111  464
e  0  87  902
e  0  76  3
e  0  61  724
e  0  21  746
e  0  15  75
e  1  2  464
e  1  46  277
e  1  53  950
e  1  75  71
e  2  3  902
e  2  26  277
e  3  4  446
e  3  24  277
e  4  5  3
e  4  18  277
e  5  6  277
e  6  7  724
e  6  22  848
e  6  27  950
e  6  18  3
e  7  8  848
e  8  9  950
e  8  22  724
e  9  10  354
e  9  28  71
e  9  25  724
e  10  11  831
e  10  17  635
e  10  23  71
e  11  12  635
e  12  13  18
e  12  19  71
e  12  17  831
e  13  14  746
e  13  16  71
e  14  15  71
e  15  16  746
e  16  21  75
e  16  19  18
e  17  20  71
e  18  30  950
e  18  29  902
e  18  24  446
e  19  35  75
e  19  20  831
e  20  45  75
e  20  31  354
e  20  23  635
e  21  55  724
e  21  35  18
e  22  25  950
e  23  28  354
e  24  26  902
e  25  33  71
e  25  32  3
e  25  27  848
e  26  29  446
e  26  36  950
e  26  46  464
e  27  30  3
e  28  31  635
e  28  33  724
e  29  34  950
e  30  32  848
e  30  34  902
e  31  47  75
e  31  38  724
e  32  37  71
e  32  39  902
e  33  38  635
e  33  37  3
e  34  39  848
e  34  36  446
e  35  54  724
e  35  48  354
e  35  45  831
e  36  41  848
e  36  44  71
e  36  50  464
e  37  42  635
e  37  40  902
e  38  51  75
e  38  42  3
e  39  40  71
e  39  41  446
e  40  49  635
e  40  43  446
e  41  43  71
e  42  57  75
e  42  49  902
e  43  59  635
e  43  69  464
e  43  44  848
e  44  56  464
e  45  47  354
e  46  50  950
e  47  48  831
e  47  51  724
e  48  52  724
e  49  63  75
e  49  59  446
e  50  56  71
e  50  53  277
e  51  52  831
e  51  57  3
e  52  54  354
e  52  58  18
e  52  60  3
e  53  62  71
e  54  55  18
e  55  61  746
e  55  65  3
e  55  58  354
e  56  69  848
e  56  78  635
e  56  62  277
e  57  60  831
e  57  63  902
e  58  64  3
e  59  74  75
e  59  73  464
e  60  64  18
e  60  66  902
e  61  67  3
e  62  84  635
e  62  75  950
e  63  66  831
e  63  74  446
e  64  65  354
e  64  68  746
e  64  70  902
e  65  67  746
e  66  70  18
e  66  77  446
e  67  76  724
e  67  72  902
e  67  68  354
e  68  71  902
e  69  73  635
e  70  71  746
e  70  79  446
e  71  72  354
e  71  80  446
e  72  82  724
e  72  95  464
e  72  88  446
e  73  81  75
e  73  89  277
e  73  78  848
e  74  77  831
e  74  81  464
e  75  105  635
e  75  110  75
e  76  82  902
e  77  79  18
e  77  83  464
e  78  84  277
e  79  80  746
e  79  85  464
e  80  88  354
e  80  86  464
e  81  83  831
e  81  94  746
e  81  92  277
e  82  87  3
e  82  99  464
e  83  85  18
e  83  90  746
e  84  89  848
e  84  93  75
e  84  105  950
e  85  86  746
e  86  91  354
e  86  98  277
e  86  90  18
e  87  107  464
e  88  91  464
e  89  92  75
e  90  97  277
e  90  94  831
e  91  95  446
e  91  104  724
e  91  106  277
e  92  96  746
e  92  93  848
e  93  100  746
e  93  108  950
e  94  96  277
e  95  99  724
e  96  97  831
e  96  100  848
e  97  98  18
e  97  101  848
e  98  106  354
e  98  102  848
e  99  107  3
e  99  104  446
e  100  101  831
e  100  103  18
e  100  109  950
e  101  102  18
e  102  114  354
e  102  113  950
e  102  103  831
e  103  112  950
e  104  117  3
e  104  115  277
e  105  108  75
e  106  115  724
e  106  114  848
e  107  111  902
e  107  117  446
e  108  109  746
e  108  110  635
e  109  112  18
e  109  116  635
e  110  116  746
e  112  113  831
