p   edge 1202  2316
e  0  1134  819
e  0  689  238
e  0  543  92
e  0  50  785
e  1  2  182
e  1  165  417
e  1  485  430
e  1  584  332
e  1  1144  709
e  1  1189  785
e  2  3  819
e  2  151  417
e  3  4  275
e  3  71  417
e  4  5  238
e  4  64  417
e  5  6  417
e  6  7  562
e  6  81  911
e  6  64  238
e  7  8  907
e  7  72  911
e  8  9  944
e  8  65  911
e  9  10  911
e  10  11  325
e  10  65  944
e  11  12  116
e  11  114  238
e  11  93  944
e  12  13  185
e  12  119  238
e  13  14  656
e  13  140  238
e  14  15  497
e  14  128  430
e  14  171  238
e  15  16  701
e  15  96  904
e  15  120  430
e  16  17  904
e  17  18  723
e  17  87  430
e  17  96  701
e  18  19  513
e  18  62  375
e  18  69  430
e  19  20  375
e  20  21  946
e  20  56  430
e  20  62  513
e  21  22  430
e  22  23  534
e  22  56  946
e  23  24  103
e  23  85  68
e  23  74  946
e  24  25  68
e  25  26  392
e  25  109  70
e  25  174  132
e  25  207  279
e  25  205  513
e  25  85  103
e  26  27  415
e  26  82  70
e  27  28  538
e  27  70  70
e  28  29  70
e  29  30  623
e  29  83  132
e  29  101  415
e  29  70  538
e  30  31  314
e  30  57  132
e  31  32  245
e  31  52  132
e  32  33  132
e  33  34  179
e  33  52  245
e  34  35  557
e  34  60  946
e  34  54  245
e  35  36  946
e  36  37  218
e  36  55  279
e  36  63  245
e  36  60  557
e  37  38  208
e  37  51  279
e  38  39  279
e  39  40  815
e  39  99  708
e  39  51  208
e  40  41  614
e  40  94  708
e  41  42  692
e  41  76  708
e  42  43  708
e  43  44  92
e  43  53  384
e  43  90  332
e  43  76  692
e  44  45  384
e  45  46  680
e  45  53  92
e  46  47  332
e  46  58  92
e  47  48  465
e  47  67  92
e  48  49  709
e  48  75  92
e  49  50  112
e  49  80  92
e  50  158  92
e  51  134  708
e  51  125  245
e  51  55  218
e  52  54  179
e  52  57  314
e  53  58  680
e  53  79  332
e  54  61  946
e  54  59  314
e  55  73  245
e  56  74  534
e  56  66  513
e  57  59  179
e  57  83  623
e  58  67  332
e  59  68  946
e  59  88  623
e  60  61  245
e  61  63  557
e  61  68  314
e  62  66  430
e  63  73  279
e  64  86  911
e  64  71  275
e  65  93  325
e  65  100  238
e  65  89  562
e  65  72  907
e  66  84  534
e  66  169  701
e  66  121  723
e  66  69  375
e  67  75  465
e  67  102  709
e  67  79  680
e  68  78  279
e  68  91  623
e  69  87  723
e  70  82  415
e  71  98  911
e  71  151  819
e  72  81  562
e  73  125  218
e  73  159  332
e  73  77  314
e  74  107  68
e  74  84  513
e  75  80  709
e  76  92  332
e  76  94  614
e  77  78  557
e  77  172  332
e  77  195  415
e  78  155  415
e  78  104  623
e  79  115  709
e  79  97  692
e  79  90  384
e  80  158  112
e  80  170  614
e  80  144  692
e  80  127  680
e  80  102  465
e  81  89  907
e  81  86  238
e  82  101  538
e  82  112  132
e  82  109  392
e  83  88  179
e  83  110  415
e  84  108  68
e  84  173  701
e  85  122  513
e  85  107  946
e  86  95  907
e  86  118  325
e  86  98  275
e  87  121  375
e  87  106  701
e  88  91  946
e  88  116  415
e  89  95  238
e  90  92  692
e  91  104  279
e  91  117  415
e  92  97  384
e  92  111  614
e  93  103  238
e  94  111  332
e  94  99  815
e  95  100  562
e  95  105  325
e  96  106  430
e  97  131  709
e  97  126  614
e  98  135  325
e  98  200  819
e  99  113  332
e  99  134  208
e  100  103  325
e  101  110  132
e  102  115  680
e  103  114  944
e  103  137  116
e  103  105  562
e  104  129  415
e  105  142  116
e  105  141  275
e  105  118  907
e  106  146  375
e  106  132  497
e  106  120  904
e  107  108  513
e  108  122  946
e  108  235  279
e  108  240  497
e  108  180  701
e  109  147  132
e  110  116  179
e  110  112  538
e  111  126  384
e  111  113  815
e  112  124  946
e  112  147  392
e  113  130  384
e  113  138  208
e  114  119  116
e  115  127  465
e  115  131  692
e  116  117  946
e  117  129  279
e  117  123  538
e  118  135  275
e  119  140  185
e  119  152  562
e  119  137  944
e  120  128  497
e  121  146  701
e  122  205  103
e  122  225  279
e  123  124  179
e  123  133  279
e  124  154  279
e  124  153  392
e  125  149  708
e  125  156  332
e  126  139  709
e  126  130  815
e  127  136  692
e  128  132  904
e  128  188  238
e  129  155  623
e  129  133  538
e  130  143  709
e  130  161  208
e  131  136  465
e  131  139  614
e  132  168  375
e  132  219  238
e  133  185  623
e  133  221  332
e  133  163  392
e  133  154  179
e  134  138  332
e  134  149  245
e  135  141  907
e  135  201  116
e  135  259  430
e  135  254  819
e  136  144  680
e  136  145  614
e  137  142  562
e  138  161  384
e  138  150  245
