p   edge 46  81
e  0  40  574
e  0  22  142
e  0  14  699
e  0  10  298
e  0  9  588
e  1  2  574
e  1  16  613
e  1  28  588
e  2  3  613
e  3  4  511
e  3  16  574
e  4  5  142
e  4  11  384
e  4  17  985
e  4  19  574
e  5  6  384
e  6  7  985
e  6  11  142
e  7  8  699
e  7  12  588
e  7  13  142
e  8  9  298
e  8  10  588
e  10  12  699
e  11  13  985
e  12  14  298
e  12  15  142
e  13  15  588
e  13  17  384
e  14  18  142
e  15  18  298
e  15  24  574
e  15  21  384
e  16  19  511
e  16  25  985
e  16  27  588
e  17  21  588
e  17  20  574
e  18  22  699
e  18  31  574
e  19  20  985
e  20  23  588
e  20  25  511
e  21  23  574
e  22  33  574
e  23  24  384
e  23  26  511
e  24  31  298
e  24  30  511
e  25  26  588
e  26  30  384
e  26  29  613
e  26  27  985
e  27  28  613
e  28  29  985
e  28  41  298
e  29  32  384
e  29  37  298
e  30  34  298
e  30  32  613
e  31  33  699
e  31  36  613
e  31  34  511
e  32  35  298
e  33  40  142
e  33  38  613
e  34  35  613
e  35  36  511
e  35  39  699
e  35  37  384
e  36  38  699
e  37  42  699
e  37  41  985
e  38  43  142
e  38  39  511
e  39  45  142
e  39  42  384
e  40  43  613
e  41  44  699
e  42  44  985
e  43  45  511
